Time,Phrase,Site,Count
2017-03-22 02:29:39,twitter,http://www.nd.edu,0
2017-03-22 02:29:39,facebook,http://www.nd.edu,0
2017-03-22 02:29:39,newsletter,http://www.nd.edu,0
2017-03-22 02:29:39,this,http://www.nd.edu,0
2017-03-22 02:29:39,is,http://www.nd.edu,0
2017-03-22 02:29:39,america,http://www.nd.edu,0

Time,Phrase,Site,Count
2017-03-22 02:29:39,twitter,http://www.cnn.com,9
2017-03-22 02:29:39,facebook,http://www.cnn.com,8
2017-03-22 02:29:39,newsletter,http://www.cnn.com,19
2017-03-22 02:29:39,this,http://www.cnn.com,6
2017-03-22 02:29:39,is,http://www.cnn.com,337
2017-03-22 02:29:39,america,http://www.cnn.com,13

Time,Phrase,Site,Count
2017-03-22 02:29:41,twitter,http://www.pbs.org,69
2017-03-22 02:29:41,facebook,http://www.pbs.org,50
2017-03-22 02:29:41,newsletter,http://www.pbs.org,1
2017-03-22 02:29:41,this,http://www.pbs.org,91
2017-03-22 02:29:41,is,http://www.pbs.org,331
2017-03-22 02:29:41,america,http://www.pbs.org,5

Time,Phrase,Site,Count
2017-03-23 21:34:16,twitter,http://www.nd.edu,0
2017-03-23 21:34:16,facebook,http://www.nd.edu,0
2017-03-23 21:34:16,newsletter,http://www.nd.edu,0
2017-03-23 21:34:16,this,http://www.nd.edu,0
2017-03-23 21:34:16,is,http://www.nd.edu,0
2017-03-23 21:34:16,america,http://www.nd.edu,0

Time,Phrase,Site,Count
2017-03-23 21:34:16,twitter,http://www.cnn.com,9
2017-03-23 21:34:16,facebook,http://www.cnn.com,9
2017-03-23 21:34:16,newsletter,http://www.cnn.com,19
2017-03-23 21:34:16,this,http://www.cnn.com,10
2017-03-23 21:34:16,is,http://www.cnn.com,329
2017-03-23 21:34:16,america,http://www.cnn.com,13

Time,Phrase,Site,Count
2017-03-23 21:34:19,twitter,http://www.pbs.org,65
2017-03-23 21:34:19,facebook,http://www.pbs.org,50
2017-03-23 21:34:19,newsletter,http://www.pbs.org,1
2017-03-23 21:34:19,this,http://www.pbs.org,95
2017-03-23 21:34:19,is,http://www.pbs.org,346
2017-03-23 21:34:19,america,http://www.pbs.org,9

Time,Phrase,Site,Count
2017-03-23 21:48:33,twitter,http://www.nd.edu,0
2017-03-23 21:48:33,facebook,http://www.nd.edu,0
2017-03-23 21:48:33,newsletter,http://www.nd.edu,0
2017-03-23 21:48:33,this,http://www.nd.edu,0
2017-03-23 21:48:33,is,http://www.nd.edu,0
2017-03-23 21:48:33,america,http://www.nd.edu,0

Time,Phrase,Site,Count
2017-03-23 21:48:33,twitter,http://www.cnn.com,9
2017-03-23 21:48:33,facebook,http://www.cnn.com,9
2017-03-23 21:48:33,newsletter,http://www.cnn.com,19
2017-03-23 21:48:33,this,http://www.cnn.com,10
2017-03-23 21:48:33,is,http://www.cnn.com,329
2017-03-23 21:48:33,america,http://www.cnn.com,13

Time,Phrase,Site,Count
2017-03-23 21:48:35,twitter,http://www.pbs.org,65
2017-03-23 21:48:35,facebook,http://www.pbs.org,50
2017-03-23 21:48:35,newsletter,http://www.pbs.org,1
2017-03-23 21:48:35,this,http://www.pbs.org,95
2017-03-23 21:48:35,is,http://www.pbs.org,346
2017-03-23 21:48:35,america,http://www.pbs.org,9

Time,Phrase,Site,Count
2017-03-23 22:25:23,twitter,http://www.nd.edu,0
2017-03-23 22:25:23,facebook,http://www.nd.edu,0
2017-03-23 22:25:23,newsletter,http://www.nd.edu,0
2017-03-23 22:25:23,this,http://www.nd.edu,0
2017-03-23 22:25:23,is,http://www.nd.edu,0
2017-03-23 22:25:23,america,http://www.nd.edu,0

Time,Phrase,Site,Count
2017-03-23 22:25:23,twitter,http://www.cnn.com,9
2017-03-23 22:25:23,facebook,http://www.cnn.com,9
2017-03-23 22:25:23,newsletter,http://www.cnn.com,19
2017-03-23 22:25:23,this,http://www.cnn.com,10
2017-03-23 22:25:23,is,http://www.cnn.com,329
2017-03-23 22:25:23,america,http://www.cnn.com,13

Time,Phrase,Site,Count
2017-03-23 22:25:26,twitter,http://www.pbs.org,65
2017-03-23 22:25:26,facebook,http://www.pbs.org,50
2017-03-23 22:25:26,newsletter,http://www.pbs.org,1
2017-03-23 22:25:26,this,http://www.pbs.org,95
2017-03-23 22:25:26,is,http://www.pbs.org,346
2017-03-23 22:25:26,america,http://www.pbs.org,9

Time,Phrase,Site,Count
2017-03-23 22:25:59,twitter,http://www.nd.edu,0
2017-03-23 22:25:59,facebook,http://www.nd.edu,0
2017-03-23 22:25:59,newsletter,http://www.nd.edu,0
2017-03-23 22:25:59,this,http://www.nd.edu,0
2017-03-23 22:25:59,is,http://www.nd.edu,0
2017-03-23 22:25:59,america,http://www.nd.edu,0

Time,Phrase,Site,Count
2017-03-23 22:25:59,twitter,http://www.cnn.com,9
2017-03-23 22:25:59,facebook,http://www.cnn.com,9
2017-03-23 22:25:59,newsletter,http://www.cnn.com,19
2017-03-23 22:25:59,this,http://www.cnn.com,10
2017-03-23 22:25:59,is,http://www.cnn.com,329
2017-03-23 22:25:59,america,http://www.cnn.com,13

Time,Phrase,Site,Count
2017-03-23 22:26:00,twitter,http://www.pbs.org,65
2017-03-23 22:26:00,facebook,http://www.pbs.org,50
2017-03-23 22:26:00,newsletter,http://www.pbs.org,1
2017-03-23 22:26:00,this,http://www.pbs.org,95
2017-03-23 22:26:00,is,http://www.pbs.org,346
2017-03-23 22:26:00,america,http://www.pbs.org,9

Time,Phrase,Site,Count
2017-03-23 22:26:36,twitter,http://www.nd.edu,0
2017-03-23 22:26:36,facebook,http://www.nd.edu,0
2017-03-23 22:26:36,newsletter,http://www.nd.edu,0
2017-03-23 22:26:36,this,http://www.nd.edu,0
2017-03-23 22:26:36,is,http://www.nd.edu,0
2017-03-23 22:26:36,america,http://www.nd.edu,0

Time,Phrase,Site,Count
2017-03-23 22:26:36,twitter,http://www.cnn.com,9
2017-03-23 22:26:36,facebook,http://www.cnn.com,9
